url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/emilyriehl/ReintroductionToProofs	reservoir-sources/emilyriehl__ReintroductionToProofs	lean	git	bulk	reservoir
https://github.com/eric-wieser/lean-matrix-cookbook	eric-wieser__lean-matrix-cookbook	lean	git	routine	registry
https://github.com/eshelyaron/lean4-bdd	reservoir-sources/eshelyaron__lean4-bdd	lean	git	bulk	reservoir
https://github.com/etheorem/etheorem	reservoir-sources/etheorem__etheorem	lean	git	bulk	reservoir
https://github.com/etheorem/LeanSha256	reservoir-sources/etheorem__LeanSha256	lean	git	bulk	reservoir
https://github.com/facebookresearch/algebraic-combinatorics	facebookresearch__algebraic-combinatorics	lean	git	routine	registry
https://github.com/facebookresearch/atlas-lean	facebookresearch__atlas-lean	lean	git	routine	registry
https://github.com/facebookresearch/autoform-bot	facebookresearch__autoform-bot	lean	git	routine	registry
https://github.com/facebookresearch/Evariste	facebookresearch__Evariste	lean	git	routine	registry
https://github.com/fgdorais/algebra4	reservoir-sources/fgdorais__algebra4	lean	git	bulk	reservoir
https://github.com/fgdorais/extra4	reservoir-sources/fgdorais__extra4	lean	git	bulk	reservoir
https://github.com/fgdorais/lean4-automata	reservoir-sources/fgdorais__lean4-automata	lean	git	bulk	reservoir
https://github.com/fgdorais/lean4-parser	reservoir-sources/fgdorais__lean4-parser	lean	git	bulk	reservoir
https://github.com/fgdorais/lean4-unicode-basic	reservoir-sources/fgdorais__lean4-unicode-basic	lean	git	bulk	reservoir
https://github.com/fgdorais/logic4	reservoir-sources/fgdorais__logic4	lean	git	bulk	reservoir
https://github.com/flypitch/flypitch	flypitch__flypitch	lean	git	routine	registry
https://github.com/formal-applied-math/formal-mathfin	reservoir-sources/formal-applied-math__formal-mathfin	lean	git	bulk	reservoir
https://github.com/FormalizedFormalLogic/Arithmetization	reservoir-sources/FormalizedFormalLogic__Arithmetization	lean	git	bulk	reservoir
https://github.com/FormalizedFormalLogic/Foundation	FormalizedFormalLogic__Foundation	lean	git	routine	registry
https://github.com/FormalizedFormalLogic/Incompleteness	reservoir-sources/FormalizedFormalLogic__Incompleteness	lean	git	bulk	reservoir
https://github.com/FormalizedFormalLogic/ProvabilityLogic	reservoir-sources/FormalizedFormalLogic__ProvabilityLogic	lean	git	bulk	reservoir
https://github.com/formalproofs/MDPLib	reservoir-sources/formalproofs__MDPLib	lean	git	bulk	reservoir
https://github.com/FormalSAT/trestle	reservoir-sources/FormalSAT__trestle	lean	git	bulk	reservoir
https://github.com/fplaunchpad/sal	reservoir-sources/fplaunchpad__sal	lean	git	bulk	reservoir
https://github.com/fpvandoorn/BonnAnalysis	fpvandoorn__BonnAnalysis	lean	git	routine	registry
https://github.com/fpvandoorn/BonnLeanSeminar	reservoir-sources/fpvandoorn__BonnLeanSeminar	lean	git	bulk	reservoir
https://github.com/fpvandoorn/carleson	fpvandoorn__carleson	lean	git	routine	registry
https://github.com/fpvandoorn/HausdorffSchoolLean	reservoir-sources/fpvandoorn__HausdorffSchoolLean	lean	git	bulk	reservoir
https://github.com/fpvandoorn/LeanCourse24	reservoir-sources/fpvandoorn__LeanCourse24	lean	git	bulk	reservoir
https://github.com/fpvandoorn/LeanCourse25	reservoir-sources/fpvandoorn__LeanCourse25	lean	git	bulk	reservoir
https://github.com/fpvandoorn/LogicColloquiumTutorial	reservoir-sources/fpvandoorn__LogicColloquiumTutorial	lean	git	bulk	reservoir
https://github.com/fpvandoorn/sard	reservoir-sources/fpvandoorn__sard	lean	git	bulk	reservoir
https://github.com/fraware/leanverifier	reservoir-sources/fraware__leanverifier	lean	git	bulk	reservoir
https://github.com/FredRaj3/SemicircleLaw	reservoir-sources/FredRaj3__SemicircleLaw	lean	git	bulk	reservoir
https://github.com/frenzymath/FATE-H	reservoir-sources/frenzymath__FATE-H	lean	git	bulk	reservoir
https://github.com/frenzymath/FATE-M	reservoir-sources/frenzymath__FATE-M	lean	git	bulk	reservoir
